emotion,kind,layer,w,w_norm,k_base,k_add,k_assigned,available,cap,k_used
anger,attention,0,0.0101538033153672,0.0003950673444102854,2,0,2,24,24,2
anger,attention,1,0.0053745900500543,0.00020911622496718688,2,0,2,24,24,2
anger,attention,2,0.0200740602469288,0.0007810477933213185,2,0,2,24,24,2
anger,attention,3,0.0115686425771565,0.0004501163514238995,2,0,2,24,24,2
anger,attention,4,0.0428232642529209,0.0016661809138824688,2,0,2,24,24,2
anger,attention,5,0.013740174621624,0.0005346069970927228,2,0,2,24,24,2
anger,attention,6,0.0006399666761538,2.490002291816262e-05,2,0,2,24,24,2
anger,attention,7,0.023023244561547,0.000895795575917159,2,0,2,24,24,2
anger,attention,8,0.0363968821197685,0.0014161412346946896,2,0,2,24,24,2
anger,attention,9,0.0947837458519775,0.0036878755284069603,2,0,2,24,24,2
anger,attention,10,0.1019444141754227,0.003966485043569116,2,1,3,24,24,3
anger,attention,11,0.1367246793565991,0.005319726442505546,2,1,3,24,24,3
anger,attention,12,0.3502389366945841,0.013627205720993178,2,2,4,24,24,4
anger,attention,13,0.720302550414723,0.02802575615519585,2,3,5,24,24,5
anger,attention,14,0.8615180611192153,0.03352021326361074,2,4,6,24,24,6
anger,attention,15,1.0014833166114547,0.03896602505251345,2,4,6,24,24,6
anger,attention,16,1.2338652543333926,0.04800761392057616,2,5,7,24,24,7
anger,attention,17,1.467607400511878,0.05710212620325331,2,6,8,24,24,8
anger,attention,18,1.6509550145261622,0.0642358723201354,2,7,9,24,24,9
anger,attention,19,1.8215659910854816,0.07087405737681515,2,8,10,24,24,10
anger,attention,20,1.961942109523929,0.07633585514929796,2,9,11,24,24,11
anger,attention,21,2.1275386265647467,0.08277893605198752,2,9,11,24,24,11
anger,attention,22,2.244455978712841,0.08732799283337342,2,10,12,24,24,12
anger,attention,23,2.223688885809367,0.0865199803094278,2,10,12,24,24,12
anger,attention,24,2.147067789667241,0.0835387828173647,2,9,11,24,24,11
anger,attention,25,2.0178578704197263,0.07851144300358999,2,9,11,24,24,11
anger,attention,26,1.8019167776029,0.07010953965382895,2,8,10,24,24,10
anger,attention,27,1.5721972506773905,0.061171540694926904,2,7,9,24,24,9
anger,mlp,0,0.0105283964072162,0.00039686432391444906,4,0,4,8192,8192,4
anger,mlp,1,0.0066681491324533,0.00025135361500997253,4,0,4,8192,8192,4
anger,mlp,2,0.0,0.0,4,0,4,8192,8192,4
anger,mlp,3,0.0142301563944997,0.0005364009083880259,4,0,4,8192,8192,4
anger,mlp,4,0.0478989899525954,0.0018055361451524234,4,1,5,8192,8192,5
anger,mlp,5,0.0179967782665554,0.0006783824395612057,4,0,4,8192,8192,4
anger,mlp,6,0.0,0.0,4,0,4,8192,8192,4
anger,mlp,7,0.028040829807473,0.0010569895483718162,4,0,4,8192,8192,4
anger,mlp,8,0.0442861034976724,0.0016693496182726092,4,0,4,8192,8192,4
anger,mlp,9,0.1087875159490023,0.004100708436266857,4,1,5,8192,8192,5
anger,mlp,10,0.1402902716849578,0.005288194105786565,4,2,6,8192,8192,6
anger,mlp,11,0.1860381015062408,0.007012643000979453,4,2,6,8192,8192,6
anger,mlp,12,0.5252250850125197,0.01979818105286528,4,6,10,8192,8192,10
anger,mlp,13,0.8220347628843951,0.030986320973124305,4,9,13,8192,8192,13
anger,mlp,14,0.9536936861004464,0.03594915933221474,4,10,14,8192,8192,14
anger,mlp,15,1.2018960011284625,0.045305061231964705,4,13,17,8192,8192,17
anger,mlp,16,1.4502693315440536,0.054667409498620305,4,15,19,8192,8192,19
anger,mlp,17,1.656448188735015,0.06243925143918986,4,18,22,8192,8192,22
anger,mlp,18,1.814189464207585,0.06838525520106539,4,19,23,8192,8192,23
anger,mlp,19,1.9784277491684528,0.07457616152723569,4,21,25,8192,8192,25
anger,mlp,20,2.11780274128564,0.07982985448082333,4,22,26,8192,8192,26
anger,mlp,21,2.266553346568066,0.08543695798585596,4,24,28,8192,8192,28
anger,mlp,22,2.2465662929045687,0.08468355279171179,4,24,28,8192,8192,28
anger,mlp,23,2.1652238893204374,0.08161737853730526,4,23,27,8192,8192,27
anger,mlp,24,2.0213012470129854,0.07619226345556504,4,21,25,8192,8192,25
anger,mlp,25,1.8396989118851,0.06934682516047812,4,19,23,8192,8192,23
anger,mlp,26,1.6088514690187157,0.06064510926785142,4,17,21,8192,8192,21
anger,mlp,27,1.256009095272964,0.04734483592242536,4,13,17,8192,8192,17
