emotion,kind,layer,w,w_norm,k_base,k_add,k_assigned,available,cap,k_used
disgust,attention,0,0.0408227963739209,0.0016976153798296,2,0,2,24,24,2
disgust,attention,1,0.0089933507598172,0.0003739883575398861,2,0,2,24,24,2
disgust,attention,2,0.0,0.0,2,0,2,24,24,2
disgust,attention,3,0.0094908785007969,0.0003946780412460858,2,0,2,24,24,2
disgust,attention,4,0.010633315958124,0.0004421862859113356,2,0,2,24,24,2
disgust,attention,5,0.0038215885411427,0.00015892070262410834,2,0,2,24,24,2
disgust,attention,6,0.015225021003537,0.0006331322719073851,2,0,2,24,24,2
disgust,attention,7,0.0658189487070369,0.0027370800026982472,2,0,2,24,24,2
disgust,attention,8,0.0406439720114928,0.0016901789713786566,2,0,2,24,24,2
disgust,attention,9,0.0587432182519073,0.0024428358569975783,2,0,2,24,24,2
disgust,attention,10,0.0572729901552486,0.0023816964434727403,2,0,2,24,24,2
disgust,attention,11,0.0944162512529564,0.003926298403586797,2,0,2,24,24,2
disgust,attention,12,0.1677622325817289,0.006976389945869347,2,1,3,24,24,3
disgust,attention,13,0.4314253625032631,0.01794081728075787,2,2,4,24,24,4
disgust,attention,14,0.5810840474058577,0.024164371465743132,2,3,5,24,24,5
disgust,attention,15,0.8717221236739268,0.03625055154310694,2,4,6,24,24,6
disgust,attention,16,0.9862938598885552,0.04101501548894251,2,5,7,24,24,7
disgust,attention,17,1.2610694694813531,0.052441555125624074,2,6,8,24,24,8
disgust,attention,18,1.465680319406627,0.06095029427547446,2,7,9,24,24,9
disgust,attention,19,1.7520244102460194,0.0728579090326746,2,8,10,24,24,10
disgust,attention,20,1.9297364302667703,0.08024806074115826,2,9,11,24,24,11
disgust,attention,21,2.057799790154515,0.08557357365670593,2,10,12,24,24,12
disgust,attention,22,2.183419556607956,0.09079746977564497,2,10,12,24,24,12
disgust,attention,23,2.238618826718686,0.09309293060192014,2,10,12,24,24,12
disgust,attention,24,2.167919386433649,0.09015289542956491,2,10,12,24,24,12
disgust,attention,25,2.082228603933161,0.08658944551422806,2,10,12,24,24,12
disgust,attention,26,1.86382541361098,0.07750715209418094,2,9,11,24,24,11
disgust,attention,27,1.600648818717894,0.06656295731121153,2,8,10,24,24,10
disgust,mlp,0,0.0389245598025558,0.0015464544265350415,4,0,4,8192,8192,4
disgust,mlp,1,0.0070631999872631,0.00028061760855386907,4,0,4,8192,8192,4
disgust,mlp,2,0.0,0.0,4,0,4,8192,8192,4
disgust,mlp,3,0.0094504708759784,0.0003754627564995014,4,0,4,8192,8192,4
disgust,mlp,4,0.0130636445613531,0.0005190124451261856,4,0,4,8192,8192,4
disgust,mlp,5,0.0026655354995163,0.00010590046986331274,4,0,4,8192,8192,4
disgust,mlp,6,0.0188602371795011,0.0007493083395081878,4,0,4,8192,8192,4
disgust,mlp,7,0.0749578299695963,0.0029780392777192543,4,1,5,8192,8192,5
disgust,mlp,8,0.0485680023445063,0.001929583856429236,4,1,5,8192,8192,5
disgust,mlp,9,0.0394402946881192,0.0015669443306147196,4,1,5,8192,8192,5
disgust,mlp,10,0.0918863166783069,0.003650600080924695,4,1,5,8192,8192,5
disgust,mlp,11,0.0724183178471167,0.0028771456572655144,4,1,5,8192,8192,5
disgust,mlp,12,0.3086735788217088,0.012263455893774852,4,3,7,8192,8192,7
disgust,mlp,13,0.5283218528164499,0.0209899783598721,4,6,10,8192,8192,10
disgust,mlp,14,0.8012419842818035,0.03183296663092787,4,9,13,8192,8192,13
disgust,mlp,15,0.9911231316736367,0.03937685517813689,4,11,15,8192,8192,15
disgust,mlp,16,1.248332989861555,0.04959568169180344,4,14,18,8192,8192,18
disgust,mlp,17,1.470985924627716,0.05844157791508042,4,16,20,8192,8192,20
disgust,mlp,18,1.7611983430815248,0.06997158060309705,4,20,24,8192,8192,24
disgust,mlp,19,1.9474910055158872,0.07737290033321001,4,22,26,8192,8192,26
disgust,mlp,20,2.0524931059532667,0.08154458432502745,4,23,27,8192,8192,27
disgust,mlp,21,2.1783469657024503,0.0865446988926138,4,24,28,8192,8192,28
disgust,mlp,22,2.256195572579339,0.0896375873752331,4,25,29,8192,8192,29
disgust,mlp,23,2.180891444334349,0.08664578983014741,4,24,28,8192,8192,28
disgust,mlp,24,2.084477546906821,0.08281531109865752,4,23,27,8192,8192,27
disgust,mlp,25,1.941578181220745,0.077137986609049,4,22,26,8192,8192,26
disgust,mlp,26,1.6304564597764064,0.06477726716201217,4,18,22,8192,8192,22
disgust,mlp,27,1.3710887155465712,0.0544727088523174,4,15,19,8192,8192,19
