emotion,kind,layer,w,w_norm,k_base,k_add,k_assigned,available,cap,k_used
fear,attention,0,0.0032655506172078,0.00011340202787897956,2,0,2,24,24,2
fear,attention,1,0.0,0.0,2,0,2,24,24,2
fear,attention,2,0.0505278757510561,0.0017546699611369885,2,0,2,24,24,2
fear,attention,3,0.0399465221577269,0.0013872137199551966,2,0,2,24,24,2
fear,attention,4,0.0662823236556961,0.0023017710628885613,2,0,2,24,24,2
fear,attention,5,0.0,0.0,2,0,2,24,24,2
fear,attention,6,0.1179084343068205,0.004094579175704762,2,0,2,24,24,2
fear,attention,7,0.141762129357549,0.004922940976898443,2,1,3,24,24,3
fear,attention,8,0.1362250116529358,0.004730654759376988,2,1,3,24,24,3
fear,attention,9,0.3143874826675759,0.010917662058705108,2,1,3,24,24,3
fear,attention,10,0.4016462072244255,0.013947875788278536,2,2,4,24,24,4
fear,attention,11,0.3842051602681025,0.013342204547796988,2,1,3,24,24,3
fear,attention,12,0.5595577290536915,0.019431633016395326,2,2,4,24,24,4
fear,attention,13,0.6742032178237307,0.023412900630252042,2,3,5,24,24,5
fear,attention,14,0.9354804281879082,0.032486214434585284,2,4,6,24,24,6
fear,attention,15,1.294374426621633,0.044949444066217675,2,5,7,24,24,7
fear,attention,16,1.3861659041073513,0.048137065667927414,2,5,7,24,24,7
fear,attention,17,1.590262431548746,0.05522467900117349,2,6,8,24,24,8
fear,attention,18,1.762165006281805,0.061194300316985493,2,7,9,24,24,9
fear,attention,19,1.9917647801782044,0.06916755904499437,2,8,10,24,24,10
fear,attention,20,2.0887918692979026,0.0725369965320104,2,8,10,24,24,10
fear,attention,21,2.240325513119217,0.07779927065223866,2,9,11,24,24,11
fear,attention,22,2.3297996462979333,0.0809064183692923,2,9,11,24,24,11
fear,attention,23,2.298464880252632,0.07981826313019548,2,9,11,24,24,11
fear,attention,24,2.2631538982141075,0.07859202674957835,2,9,11,24,24,11
fear,attention,25,2.111751403727741,0.07333430702224777,2,8,10,24,24,10
fear,attention,26,1.912115126503868,0.06640158377609737,2,7,9,24,24,9
fear,attention,27,1.7016947478523226,0.05909436351118803,2,7,9,24,24,9
fear,mlp,0,0.0,0.0,4,0,4,8192,8192,4
fear,mlp,1,0.0,0.0,4,0,4,8192,8192,4
fear,mlp,2,0.0447455693694152,0.0015169896511138868,4,0,4,8192,8192,4
fear,mlp,3,0.0276519382388638,0.0009374716811687087,4,0,4,8192,8192,4
fear,mlp,4,0.0464414884042743,0.0015744856593503315,4,0,4,8192,8192,4
fear,mlp,5,0.0241579420810349,0.0008190162432973324,4,0,4,8192,8192,4
fear,mlp,6,0.114275891173701,0.00387424602536881,4,1,5,8192,8192,5
fear,mlp,7,0.1576002987685745,0.0053430546445968445,4,1,5,8192,8192,5
fear,mlp,8,0.1685724720443928,0.005715039481178716,4,2,6,8192,8192,6
fear,mlp,9,0.3284845255158822,0.01113646854383879,4,3,7,8192,8192,7
fear,mlp,10,0.4388415122128291,0.014877853648702621,4,4,8,8192,8192,8
fear,mlp,11,0.407802744388997,0.013825559751549438,4,4,8,8192,8192,8
fear,mlp,12,0.5803899250853786,0.019676708160676386,4,6,10,8192,8192,10
fear,mlp,13,0.7794131614265549,0.026424106710199048,4,7,11,8192,8192,11
fear,mlp,14,1.1536481591755268,0.03911163369153778,4,11,15,8192,8192,15
fear,mlp,15,1.3519736076647413,0.04583537544185067,4,13,17,8192,8192,17
fear,mlp,16,1.5696429809210863,0.05321492589226964,4,15,19,8192,8192,19
fear,mlp,17,1.7652436463208665,0.05984629050208676,4,17,21,8192,8192,21
fear,mlp,18,1.9816759572117504,0.06718390136311993,4,19,23,8192,8192,23
fear,mlp,19,2.107888342443676,0.0714628251747387,4,20,24,8192,8192,24
fear,mlp,20,2.235182983857149,0.07577844024876398,4,21,25,8192,8192,25
fear,mlp,21,2.3614576472842344,0.08005947545104955,4,22,26,8192,8192,26
fear,mlp,22,2.3247219478912635,0.07881404095125617,4,22,26,8192,8192,26
fear,mlp,23,2.269686068682258,0.07694818338420326,4,22,26,8192,8192,26
fear,mlp,24,2.108352305417457,0.07147855471041441,4,20,24,8192,8192,24
fear,mlp,25,1.9510016867311049,0.06614396486146455,4,19,23,8192,8192,23
fear,mlp,26,1.7398356605594758,0.058984894569509255,4,17,21,8192,8192,21
fear,mlp,27,1.4576033124621013,0.04941649355669441,4,14,18,8192,8192,18
