emotion,kind,layer,w,w_norm,k_base,k_add,k_assigned,available,cap,k_used
sadness,attention,0,0.0990050316428423,0.003366841940758115,2,0,2,24,24,2
sadness,attention,1,0.0,0.0,2,0,2,24,24,2
sadness,attention,2,0.0,0.0,2,0,2,24,24,2
sadness,attention,3,0.0123324439917919,0.0004193866612093269,2,0,2,24,24,2
sadness,attention,4,0.0339777402188073,0.0011554734029433013,2,0,2,24,24,2
sadness,attention,5,0.0,0.0,2,0,2,24,24,2
sadness,attention,6,0.0,0.0,2,0,2,24,24,2
sadness,attention,7,0.0570976636438909,0.0019417074615868761,2,0,2,24,24,2
sadness,attention,8,0.0580036551152244,0.0019725173106727163,2,0,2,24,24,2
sadness,attention,9,0.1051115490088908,0.003574504909385288,2,0,2,24,24,2
sadness,attention,10,0.157778248374282,0.005365529560984574,2,1,3,24,24,3
sadness,attention,11,0.2503155757226459,0.008512425730121438,2,1,3,24,24,3
sadness,attention,12,0.5259361901800923,0.0178853942459084,2,2,4,24,24,4
sadness,attention,13,0.9729281914094312,0.03308615113623907,2,4,6,24,24,6
sadness,attention,14,1.225593459764496,0.04167848233754158,2,5,7,24,24,7
sadness,attention,15,1.6460821852025862,0.05597794826295081,2,6,8,24,24,8
sadness,attention,16,1.7106316195951563,0.05817306642370371,2,6,8,24,24,8
sadness,attention,17,1.9193103235118256,0.06526955637811585,2,7,9,24,24,9
sadness,attention,18,2.0417628354295645,0.06943377152995893,2,8,10,24,24,10
sadness,attention,19,2.070635563305013,0.07041563992131339,2,8,10,24,24,10
sadness,attention,20,2.23854786407447,0.0761257959327697,2,9,11,24,24,11
sadness,attention,21,2.2781903633319858,0.07747390952782582,2,9,11,24,24,11
sadness,attention,22,2.2612970364208933,0.07689942194250403,2,9,11,24,24,11
sadness,attention,23,2.238477751704678,0.07612341163711055,2,8,10,24,24,10
sadness,attention,24,2.1331291282709657,0.07254084459084872,2,8,10,24,24,10
sadness,attention,25,2.0073243197518607,0.06826262863916695,2,8,10,24,24,10
sadness,attention,26,1.769958963621052,0.06019059812674632,2,7,9,24,24,9
sadness,attention,27,1.592476519389677,0.054154992389634705,2,6,8,24,24,8
sadness,mlp,0,0.0912504593798281,0.0030568093649638553,4,1,5,8192,8192,5
sadness,mlp,1,0.0,0.0,4,0,4,8192,8192,4
sadness,mlp,2,0.0,0.0,4,0,4,8192,8192,4
sadness,mlp,3,0.0158146131283706,0.0005297754974893875,4,0,4,8192,8192,4
sadness,mlp,4,0.0382993821390373,0.0012829952943866393,4,0,4,8192,8192,4
sadness,mlp,5,0.0011160666726538,3.738724254188639e-05,4,0,4,8192,8192,4
sadness,mlp,6,0.0,0.0,4,0,4,8192,8192,4
sadness,mlp,7,0.0669499665049783,0.002242764430856935,4,1,5,8192,8192,5
sadness,mlp,8,0.0627536136789211,0.0021021903372626205,4,1,5,8192,8192,5
sadness,mlp,9,0.146609118203247,0.004911275280788866,4,1,5,8192,8192,5
sadness,mlp,10,0.2303294995497259,0.007715833717837514,4,2,6,8192,8192,6
sadness,mlp,11,0.2520400926336895,0.008443119308606278,4,2,6,8192,8192,6
sadness,mlp,12,0.7197404623185641,0.02411066640663027,4,7,11,8192,8192,11
sadness,mlp,13,1.044049887200201,0.034974744175244536,4,10,14,8192,8192,14
sadness,mlp,14,1.4570882721773362,0.048811163321719093,4,14,18,8192,8192,18
sadness,mlp,15,1.6898449991764597,0.05660830700389698,4,16,20,8192,8192,20
sadness,mlp,16,1.914814211934828,0.06414457587379756,4,18,22,8192,8192,22
sadness,mlp,17,2.0469829299753863,0.06857211057123885,4,19,23,8192,8192,23
sadness,mlp,18,2.0791574204512884,0.06964992743340162,4,20,24,8192,8192,24
sadness,mlp,19,2.2541592375778534,0.07551233291731782,4,21,25,8192,8192,25
sadness,mlp,20,2.2666650130216777,0.07593126529039985,4,21,25,8192,8192,25
sadness,mlp,21,2.273660384866041,0.0761656040357671,4,21,25,8192,8192,25
sadness,mlp,22,2.248841708470603,0.07533420041383254,4,21,25,8192,8192,25
sadness,mlp,23,2.140725581408654,0.07171240615709429,4,20,24,8192,8192,24
sadness,mlp,24,2.0083942126948084,0.06727942280652072,4,19,23,8192,8192,23
sadness,mlp,25,1.8044463177221253,0.060447349416926595,4,17,21,8192,8192,21
sadness,mlp,26,1.6351264030488444,0.05477528262004883,4,15,19,8192,8192,19
sadness,mlp,27,1.3626776432051608,0.04564849108142931,4,13,17,8192,8192,17
