emotion,kind,layer,w,w_norm,k_base,k_add,k_assigned,available,cap,k_used
surprise,attention,0,0.0571048042225448,0.002172037569305607,2,0,2,24,24,2
surprise,attention,1,0.0131632305471054,0.0005006764609562654,2,0,2,24,24,2
surprise,attention,2,0.0,0.0,2,0,2,24,24,2
surprise,attention,3,0.0,0.0,2,0,2,24,24,2
surprise,attention,4,0.0,0.0,2,0,2,24,24,2
surprise,attention,5,0.0,0.0,2,0,2,24,24,2
surprise,attention,6,0.0432866594407798,0.00164645079928305,2,0,2,24,24,2
surprise,attention,7,0.0360303585030249,0.0013704502339090987,2,0,2,24,24,2
surprise,attention,8,0.0,0.0,2,0,2,24,24,2
surprise,attention,9,0.0,0.0,2,0,2,24,24,2
surprise,attention,10,0.0141472943526063,0.0005381062986948204,2,0,2,24,24,2
surprise,attention,11,0.0180157402131901,0.0006852464536854145,2,0,2,24,24,2
surprise,attention,12,0.2436857895241482,0.009268829429650417,2,1,3,24,24,3
surprise,attention,13,0.6459076637927446,0.024567735257314507,2,3,5,24,24,5
surprise,attention,14,0.8211848487047617,0.031234575917293946,2,3,5,24,24,5
surprise,attention,15,1.3013057717057424,0.04949644892019804,2,6,8,24,24,8
surprise,attention,16,1.5035424149434244,0.05718871917631564,2,6,8,24,24,8
surprise,attention,17,1.5954802838729216,0.06068566672872358,2,7,9,24,24,9
surprise,attention,18,1.7882312277214836,0.06801713904980206,2,8,10,24,24,10
surprise,attention,19,1.8973607307430385,0.07216798736649914,2,8,10,24,24,10
surprise,attention,20,2.111977187891018,0.08033113605885805,2,9,11,24,24,11
surprise,attention,21,2.206289228959088,0.08391838759096064,2,9,11,24,24,11
surprise,attention,22,2.2562988577750107,0.08582055316343848,2,10,12,24,24,12
surprise,attention,23,2.2261594908638664,0.08467417260689247,2,9,11,24,24,11
surprise,attention,24,2.129592138841466,0.08100113809750865,2,9,11,24,24,11
surprise,attention,25,2.0092414470742948,0.07642348079583083,2,9,11,24,24,11
surprise,attention,26,1.7819790412547645,0.06777933096901265,2,8,10,24,24,10
surprise,attention,27,1.590907359957526,0.06051173105586659,2,7,9,24,24,9
surprise,mlp,0,0.0506642563789059,0.0018253030403536045,4,0,4,8192,8192,4
surprise,mlp,1,0.0147532161687544,0.0005315204890490272,4,0,4,8192,8192,4
surprise,mlp,2,0.0008598445960262,3.097799252436462e-05,4,0,4,8192,8192,4
surprise,mlp,3,0.0,0.0,4,0,4,8192,8192,4
surprise,mlp,4,0.0116372384284526,0.0004192598135836499,4,0,4,8192,8192,4
surprise,mlp,5,0.0,0.0,4,0,4,8192,8192,4
surprise,mlp,6,0.0599903799699007,0.0021612993217959946,4,1,5,8192,8192,5
surprise,mlp,7,0.0511919036968316,0.0018443128181038452,4,1,5,8192,8192,5
surprise,mlp,8,0.0,0.0,4,0,4,8192,8192,4
surprise,mlp,9,0.0221955392575125,0.0007996482764107679,4,0,4,8192,8192,4
surprise,mlp,10,0.0819950148747618,0.0029540698046651914,4,1,5,8192,8192,5
surprise,mlp,11,0.0647224894340557,0.00233178507268929,4,1,5,8192,8192,5
surprise,mlp,12,0.4511403312228537,0.016253427506143333,4,5,9,8192,8192,9
surprise,mlp,13,0.6916539480863494,0.02491851542975022,4,7,11,8192,8192,11
surprise,mlp,14,1.0937332257811256,0.039404399176876985,4,11,15,8192,8192,15
surprise,mlp,15,1.4693296754597698,0.052936174644322494,4,15,19,8192,8192,19
surprise,mlp,16,1.5901987286505408,0.057290776212414046,4,16,20,8192,8192,20
surprise,mlp,17,1.7796894314998783,0.06411763958218106,4,18,22,8192,8192,22
surprise,mlp,18,1.8864396111140616,0.06796357439568773,4,19,23,8192,8192,23
surprise,mlp,19,2.13184347555998,0.07680484538045557,4,21,25,8192,8192,25
surprise,mlp,20,2.186626757766474,0.07877854634281087,4,22,26,8192,8192,26
surprise,mlp,21,2.394785115955036,0.08627795739179629,4,24,28,8192,8192,28
surprise,mlp,22,2.3764354696090475,0.08561686675988697,4,24,28,8192,8192,28
surprise,mlp,23,2.2557709232107044,0.08126963304630809,4,23,27,8192,8192,27
surprise,mlp,24,2.116731355422828,0.07626039450316967,4,21,25,8192,8192,25
surprise,mlp,25,1.9357419888468923,0.06973981244602781,4,20,24,8192,8192,24
surprise,mlp,26,1.7027478220996124,0.061345630998502765,4,17,21,8192,8192,21
surprise,mlp,27,1.335749654566872,0.048123629554490274,4,13,17,8192,8192,17
