emotion,kind,layer,I_final,I_final_normalized
anger,attention,0,0.0101538033153672,0.00019449844310110497
anger,attention,1,0.0053745900500543,0.00010295151132779721
anger,attention,2,0.0200740602469288,0.0003845232513846697
anger,attention,3,0.0115686425771565,0.0002216000153011357
anger,attention,4,0.0428232642529209,0.0008202894981326618
anger,attention,5,0.013740174621624,0.00026319621218175393
anger,attention,6,0.0006399666761538,1.225870920309448e-05
anger,attention,7,0.023023244561547,0.00044101555675986944
anger,attention,8,0.0363968821197685,0.0006971906670001722
anger,attention,9,0.0947837458519775,0.0018156045007883582
anger,attention,10,0.1019444141754227,0.0019527687531592564
anger,attention,11,0.1367246793565991,0.0026189927500476326
anger,attention,12,0.3502389366945841,0.006708907567412297
anger,attention,13,0.720302550414723,0.013797561393117485
anger,attention,14,0.8615180611192153,0.01650257705283414
anger,attention,15,1.0014833166114547,0.019183643785758587
anger,attention,16,1.2338652543333926,0.023634973370144998
anger,attention,17,1.467607400511878,0.028112358061063863
anger,attention,18,1.6509550145261622,0.03162442387172517
anger,attention,19,1.8215659910854816,0.03489251645596159
anger,attention,20,1.9619421095239291,0.037581453363330374
anger,attention,21,2.1275386265647467,0.04075349281958607
anger,attention,22,2.244455978712841,0.042993071651085776
anger,attention,23,2.223688885809367,0.04259527319941116
anger,attention,24,2.147067789667241,0.041127578440562605
anger,attention,25,2.0178578704197263,0.03865253265266295
anger,attention,26,1.8019167776028997,0.03451613124228118
anger,attention,27,1.5721972506773905,0.030115800750423694
anger,mlp,0,0.0105283964072162,0.00020167386012447726
anger,mlp,1,0.0066681491324533,0.0001277299337348104
anger,mlp,2,-0.0195107237495833,-0.000373732410920988
anger,mlp,3,0.0142301563944997,0.0002725819259889153
anger,mlp,4,0.0478989899525954,0.000917516193936475
anger,mlp,5,0.0179967782665554,0.0003447324362077465
anger,mlp,6,-0.0058329362653262,-0.00011173123873661441
anger,mlp,7,0.028040829807473,0.0005371285587699334
anger,mlp,8,0.0442861034976724,0.0008483105210710082
anger,mlp,9,0.1087875159490023,0.0020838499450638987
anger,mlp,10,0.1402902716849578,0.0026872924930167953
anger,mlp,11,0.1860381015062408,0.003563602718765152
anger,mlp,12,0.5252250850125197,0.01006080757522397
anger,mlp,13,0.8220347628843951,0.015746265373687594
anger,mlp,14,0.9536936861004464,0.018268222397134607
anger,mlp,15,1.2018960011284625,0.02302259495563963
anger,mlp,16,1.4502693315440536,0.027780243353315116
anger,mlp,17,1.656448188735015,0.031729646889950086
anger,mlp,18,1.814189464207585,0.03475121738322173
anger,mlp,19,1.9784277491684532,0.03789723959089429
anger,mlp,20,2.1178027412856397,0.04056699969280554
anger,mlp,21,2.266553346568066,0.043416351826108375
anger,mlp,22,2.2465662929045687,0.043033495205885584
anger,mlp,23,2.1652238893204374,0.041475362714657286
anger,mlp,24,2.0213012470129854,0.03871849132505382
anger,mlp,25,1.8396989118851,0.03523985673377294
anger,mlp,26,1.6088514690187157,0.03081792075206742
anger,mlp,27,1.256009095272964,0.024059143747810954
disgust,attention,0,0.0408227963739209,0.0008295207483904399
disgust,attention,1,0.0089933507598172,0.00018274522363654456
disgust,attention,2,-0.0045787971159884,-9.304132856535815e-05
disgust,attention,3,0.0094908785007969,0.00019285500593225569
disgust,attention,4,0.010633315958124,0.00021606937777270748
disgust,attention,5,0.0038215885411427,7.765482201788091e-05
disgust,attention,6,0.015225021003537,0.0003093729959465087
disgust,attention,7,0.0658189487070369,0.0013374434982267053
disgust,attention,8,0.0406439720114928,0.0008258870306609371
disgust,attention,9,0.0587432182519073,0.00119366439086752
disgust,attention,10,0.0572729901552486,0.0011637893009821027
disgust,attention,11,0.0944162512529564,0.0019185417550083865
disgust,attention,12,0.1677622325817289,0.003408934837490671
disgust,attention,13,0.4314253625032631,0.008766579493974797
disgust,attention,14,0.5810840474058577,0.011807649565863299
disgust,attention,15,0.8717221236739268,0.017713426140509317
disgust,attention,16,0.9862938598885552,0.020041528103408295
disgust,attention,17,1.2610694694813531,0.025624978762228634
disgust,attention,18,1.465680319406627,0.029782678881646377
disgust,attention,19,1.7520244102460194,0.03560120151186028
disgust,attention,20,1.9297364302667703,0.03921231640206327
disgust,attention,21,2.057799790154515,0.04181456866235528
disgust,attention,22,2.183419556607956,0.04436716701271376
disgust,attention,23,2.238618826718686,0.04548881824486969
disgust,attention,24,2.167919386433649,0.04405220297533134
disgust,attention,25,2.082228603933161,0.04231096307155598
disgust,attention,26,1.86382541361098,0.03787300207967613
disgust,attention,27,1.600648818717894,0.032525243833158135
disgust,mlp,0,0.0389245598025558,0.000790948510298813
disgust,mlp,1,0.0070631999872631,0.00014352448778371348
