emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
anger,attention,0,0.5,0.024746809686933244,0.012373404843466622,-1.8761841503583736,-1.8760590396478585,0.00012511071051513056,0.010111259762198054,,,,,478
anger,attention,1,0.5,0.03355450857253302,0.01677725428626651,-1.8761841503583736,-1.8760924309990894,9.17193592842036e-05,0.005466887353509511,,,,,478
anger,attention,2,0.5,0.04446781249273391,0.022233906246366956,-1.8761841503583736,-1.8757311390658302,0.00045301129254338157,0.020374795482345984,,,,,478
anger,attention,3,0.5,0.05272324879964193,0.026361624399820965,-1.8761841503583736,-1.87587315224454,0.000310998113833616,0.01179738050723946,,,,,478
anger,attention,4,0.5,0.07425630660284133,0.03712815330142066,-1.8761841503583736,-1.8745912373003601,0.0015929130580134565,0.042903104958697355,,,,,478
anger,attention,5,0.5,0.09585160300845191,0.04792580150422596,-1.8761841503583736,-1.875514293907826,0.0006698564505476234,0.013976948314334554,,,,,478
anger,attention,6,0.5,0.10027883166358584,0.05013941583179292,-1.8761841503583736,-1.8761539112573886,3.0239100984985612e-05,0.0006031003848635047,,,,,478
anger,attention,7,0.5,0.12613108044578916,0.06306554022289458,-1.8761841503583736,-1.874739562991274,0.0014445873670996257,0.022906128481480912,,,,,478
anger,attention,8,0.5,0.13033072153727213,0.06516536076863606,-1.8761841503583736,-1.8738185912370682,0.0023655591213054272,0.03630086741488532,,,,,478
anger,attention,9,0.5,0.13836706252325148,0.06918353126162574,-1.8761841503583736,-1.8696406503289813,0.006543500029392302,0.09458175826046344,,,,,478
anger,attention,10,0.5,0.1499653316679455,0.07498266583397276,-1.8761841503583736,-1.86851947358712,0.007664676771253598,0.10221931543784785,,,,,478
anger,attention,11,0.5,0.15608846573602586,0.07804423286801293,-1.8761841503583736,-1.8654761520452081,0.01070799831316549,0.13720422278062075,,,,,478
anger,attention,12,0.5,0.1668252490815662,0.0834126245407831,-1.8761841503583736,-1.8468845723874898,0.029299577970883783,0.3512607130178272,,,,,478
anger,attention,13,0.5,0.19299743289039248,0.09649871644519624,-1.8761841503583736,-1.806555054177799,0.06962909618057456,0.7215546356009664,,,,,478
anger,attention,14,0.5,0.21573316483270555,0.10786658241635277,-1.8761841503583736,-1.783109332945307,0.09307481741306667,0.8628698094263192,,,,,478
anger,attention,15,0.5,0.25008533114478704,0.12504266557239352,-1.8761841503583736,-1.7507344862781309,0.12544966408024272,1.0032548770932395,,,,,478
anger,attention,16,0.5,0.2807611737932478,0.1403805868966239,-1.8761841503583736,-1.7027266432051877,0.17345750715318586,1.2356231797272637,,,,,478
anger,attention,17,0.5,0.29693485441662015,0.14846742720831008,-1.8761841503583736,-1.6579870098741982,0.21819714048417538,1.469663377260722,,,,,478
anger,attention,18,0.5,0.3229855128696987,0.16149275643484934,-1.8761841503583736,-1.6092331907926245,0.2669509595657491,1.653021259027457,,,,,478
anger,attention,19,0.5,0.3499829428536551,0.17499147142682756,-1.8761841503583736,-1.5570787687057233,0.31910538165265034,1.8235481938105984,,,,,478
anger,attention,20,0.5,0.3824343000139509,0.19121715000697545,-1.8761841503583736,-1.5006982957842958,0.3754858545740778,1.963662017556377,,,,,478
anger,attention,21,0.5,0.3979862758091518,0.1989931379045759,-1.8761841503583736,-1.452519068065797,0.4236650822925767,2.129043678359094,,,,,478
anger,attention,22,0.5,0.44934290931338355,0.22467145465669178,-1.8761841503583736,-1.371570751507412,0.5046133988509616,2.246005838267411,,,,,478
anger,attention,23,0.5,0.5047627403622582,0.2523813701811291,-1.8761841503583736,-1.3146830881053433,0.5615010622530303,2.22481184665117,,,,,478
anger,attention,24,0.5,0.556824457077753,0.2784122285388765,-1.8761841503583736,-1.2781945471983076,0.597989603160066,2.147856817562756,,,,,478
anger,attention,25,0.5,0.6123204912458148,0.3061602456229074,-1.8761841503583736,-1.2581879918358316,0.617996158522542,2.018538224207325,,,,,478
