emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
disgust,attention,0,0.7,0.024746809686933244,0.01732276678085327,-0.4825677875154897,-0.4818693522089406,0.0006984353065490612,0.040318923378974116,,,,,475
disgust,attention,1,0.7,0.03355450857253302,0.02348815600077311,-0.4825677875154897,-0.4823603545364581,0.00020743297903158542,0.008831386296342624,,,,,475
disgust,attention,2,0.7,0.04446781249273391,0.031127468744913737,-0.4825677875154897,-0.4827225626142401,-0.00015477509875044815,-0.004972299547348789,,,,,475
disgust,attention,3,0.7,0.05272324879964193,0.03690627415974935,-0.4825677875154897,-0.482213180535718,0.00035460697977168776,0.009608311536319442,,,,,475
disgust,attention,4,0.7,0.07425630660284133,0.05197941462198893,-0.4825677875154897,-0.4820287578356893,0.0005390296798003513,0.010370060604190122,,,,,475
disgust,attention,5,0.7,0.09585160300845191,0.06709612210591634,-0.4825677875154897,-0.4822952122437327,0.0002725752717570029,0.00406245939708292,,,,,475
disgust,attention,6,0.7,0.10027883166358584,0.07019518216451008,-0.4825677875154897,-0.48147832826564185,0.001089459249847824,0.015520427702496122,,,,,475
disgust,attention,7,0.7,0.12613108044578916,0.08829175631205241,-0.4825677875154897,-0.47672718735117664,0.005840600164313037,0.06615113809346385,,,,,475
disgust,attention,8,0.7,0.13033072153727213,0.09123150507609049,-0.4825677875154897,-0.47881667046170484,0.003751117053784836,0.041116465750030806,,,,,475
disgust,attention,9,0.7,0.13836706252325148,0.09685694376627603,-0.4825677875154897,-0.47686406637492934,0.005703721140560336,0.05888809742256473,,,,,475
disgust,attention,10,0.7,0.1499653316679455,0.10497573216756186,-0.4825677875154897,-0.47653826136338084,0.006029526152108833,0.05743733363521129,,,,,475
disgust,attention,11,0.7,0.15608846573602586,0.1092619260152181,-0.4825677875154897,-0.4722130692318866,0.01035471828360307,0.09476968474966162,,,,,475
disgust,attention,12,0.7,0.1668252490815662,0.11677767435709634,-0.4825677875154897,-0.46262597927921695,0.01994180823627273,0.17076730073671745,,,,,475
disgust,attention,13,0.7,0.19299743289039248,0.13509820302327472,-0.4825677875154897,-0.4237426948861072,0.05882509262938246,0.43542468599118284,,,,,475
disgust,attention,14,0.7,0.21573316483270555,0.15101321538289386,-0.4825677875154897,-0.3942576172163612,0.08831017029912847,0.5847843850964839,,,,,475
disgust,attention,15,0.7,0.25008533114478704,0.17505973180135093,-0.4825677875154897,-0.32913998563038677,0.1534278018851029,0.8764311489932199,,,,,475
disgust,attention,16,0.7,0.2807611737932478,0.19653282165527344,-0.4825677875154897,-0.28770700319817194,0.19486078431731774,0.9914923251807348,,,,,475
disgust,attention,17,0.7,0.29693485441662015,0.20785439809163408,-0.4825677875154897,-0.21922771187205065,0.26334007564343903,1.266944929052421,,,,,475
disgust,attention,18,0.7,0.3229855128696987,0.22608985900878906,-0.4825677875154897,-0.149971516540176,0.3325962709753137,1.471080005239794,,,,,475
disgust,attention,19,0.7,0.3499829428536551,0.24498805999755857,-0.4825677875154897,-0.051947427297893325,0.43062036021759637,1.7577197852903024,,,,,475
disgust,attention,20,0.7,0.3824343000139509,0.2677040100097656,-0.4825677875154897,0.035178964420368795,0.5177467519358585,1.9340268825893625,,,,,475
disgust,attention,21,0.7,0.3979862758091518,0.27859039306640626,-0.4825677875154897,0.09174626312757793,0.5743140506430676,2.0614998396810154,,,,,475
disgust,attention,22,0.7,0.44934290931338355,0.31454003651936846,-0.4825677875154897,0.20543506418403826,0.6880028516995279,2.1873299797151984,,,,,475
disgust,attention,23,0.7,0.5047627403622582,0.35333391825358074,-0.4825677875154897,0.30947597522484627,0.7920437627403359,2.2416295799032286,,,,,475
disgust,attention,24,0.7,0.556824457077753,0.38977711995442704,-0.4825677875154897,0.36323127388954163,0.8457990614050312,2.1699556441484367,,,,,475
disgust,attention,25,0.7,0.6123204912458148,0.4286243438720703,-0.4825677875154897,0.41069248588461627,0.8932602734001059,2.0840166597413643,,,,,475
disgust,attention,26,0.7,0.7091385977608817,0.4963970184326172,-0.4825677875154897,0.4437186487097489,0.9262864362252385,1.8660193390161874,,,,,475
disgust,attention,27,0.7,0.7923965454101562,0.5546775817871094,-0.4825677875154897,0.4052051991851706,0.8877729867006603,1.600520763504367,,,,,475
disgust,mlp,0,0.7,0.028173367182413738,0.019721357027689616,-0.4825677875154897,-0.4818150616319556,0.0007527258835340889,0.038168057222291045,,,,,475
disgust,mlp,1,0.7,0.03440512929643903,0.024083590507507323,-0.4825677875154897,-0.48239853353876816,0.00016925397672151732,0.007027771738136702,,,,,475
disgust,mlp,2,0.7,0.047152962003435404,0.03300707340240478,-0.4825677875154897,-0.4825884446972295,-2.0657181739824892e-05,-0.0006258410580054602,,,,,475
disgust,mlp,3,0.7,0.05883604004269555,0.04118522802988688,-0.4825677875154897,-0.48217420170181674,0.00039358581367293644,0.009556480138639103,,,,,475
disgust,mlp,4,0.7,0.07728308723086402,0.05409816106160481,-0.4825677875154897,-0.4818638358931792,0.0007039516223104614,0.013012487088217834,,,,,475
disgust,mlp,5,0.7,0.09360138575236003,0.06552097002665201,-0.4825677875154897,-0.48238827589311095,0.0001795116223787252,0.0027397583141047076,,,,,475
disgust,mlp,6,0.7,0.09779841559273857,0.068458890914917,-0.4825677875154897,-0.48124580446042514,0.001321983055064535,0.019310611629796047,,,,,475
disgust,mlp,7,0.7,0.11729521978469122,0.08210665384928385,-0.4825677875154897,-0.47638986769475433,0.006177919820735345,0.07524262079996126,,,,,475
disgust,mlp,8,0.7,0.11951537359328497,0.08366076151529947,-0.4825677875154897,-0.47847272032185606,0.004095067193633617,0.048948480977963976,,,,,475
disgust,mlp,9,0.7,0.1384358179001581,0.09690507253011067,-0.4825677875154897,-0.47872839061837447,0.0038393968971152104,0.03962018495907136,,,,,475
disgust,mlp,10,0.7,0.14277108510335287,0.099939759572347,-0.4825677875154897,-0.47332972338325097,0.00923806413223871,0.09243632536009073,,,,,475
disgust,mlp,11,0.7,0.1538222176688058,0.10767555236816405,-0.4825677875154897,-0.4747055748575612,0.007862212657928469,0.0730176208527448,,,,,475
disgust,mlp,12,0.7,0.16940902528308688,0.1185863176981608,-0.4825677875154897,-0.4456297493922083,0.03693803812328139,0.3114865090701292,,,,,475
disgust,mlp,13,0.7,0.19886348361060732,0.13920443852742512,-0.4825677875154897,-0.40867307929616226,0.07389470821932742,0.5308358627140268,,,,,475
disgust,mlp,14,0.7,0.2291873296101888,0.16043113072713217,-0.4825677875154897,-0.35346219912955634,0.12910558838593333,0.8047414974935345,,,,,475
