emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
fear,attention,0,0.3,0.024746809686933244,0.007424042906079973,-8.162142317990462,-8.162105196962754,3.712102770769832e-05,0.00500010953294704,,,,,480
fear,attention,1,0.3,0.03355450857253302,0.010066352571759906,-8.162142317990462,-8.162377617011467,-0.00023529902100527522,-0.023374804262805367,,,,,480
fear,attention,2,0.3,0.04446781249273391,0.013340343747820173,-8.162142317990462,-8.161484515170256,0.0006578028202053332,0.04930928562562857,,,,,480
fear,attention,3,0.3,0.05272324879964193,0.015816974639892577,-8.162142317990462,-8.16150946393609,0.0006328540543716343,0.040011068410989906,,,,,480
fear,attention,4,0.3,0.07425630660284133,0.022276891980852396,-8.162142317990462,-8.160648827006419,0.0014934909840427224,0.06704216123714292,,,,,480
fear,attention,5,0.3,0.09585160300845191,0.028755480902535574,-8.162142317990462,-8.163025392840305,-0.0008830748498436236,-0.030709792433544613,,,,,480
fear,attention,6,0.3,0.10027883166358584,0.03008364949907575,-8.162142317990462,-8.158573644608259,0.0035686733822029026,0.11862501530316466,,,,,480
fear,attention,7,0.3,0.12613108044578916,0.037839324133736744,-8.162142317990462,-8.1567625751098,0.005379742880661453,0.14217333432403959,,,,,480
fear,attention,8,0.3,0.13033072153727213,0.039099216461181634,-8.162142317990462,-8.15683559825023,0.005306719740231003,0.13572445231734004,,,,,480
fear,attention,9,0.3,0.13836706252325148,0.041510118756975446,-8.162142317990462,-8.149100774774949,0.013041543215512874,0.31417744892192934,,,,,480
fear,attention,10,0.3,0.1499653316679455,0.04498959950038365,-8.162142317990462,-8.144076479474704,0.01806583851575816,0.40155588661339614,,,,,480
fear,attention,11,0.3,0.15608846573602586,0.046826539720807754,-8.162142317990462,-8.144150421768426,0.017991896222035564,0.38422433793545324,,,,,480
fear,attention,12,0.3,0.1668252490815662,0.050047574724469863,-8.162142317990462,-8.134116470317046,0.028025847673415427,0.5599841316528908,,,,,480
fear,attention,13,0.3,0.19299743289039248,0.05789922986711774,-8.162142317990462,-8.123063753793637,0.03907856419682432,0.6749410015731124,,,,,480
fear,attention,14,0.3,0.21573316483270555,0.06471994944981166,-8.162142317990462,-8.10159012004733,0.0605521979431316,0.9356032947783431,,,,,480
fear,attention,15,0.3,0.25008533114478704,0.07502559934343611,-8.162142317990462,-8.065040093163649,0.09710222482681274,1.2942545701277106,,,,,480
fear,attention,16,0.3,0.2807611737932478,0.08422835213797433,-8.162142317990462,-8.045406150321165,0.11673616766929662,1.3859486112000776,,,,,480
fear,attention,17,0.3,0.29693485441662015,0.08908045632498604,-8.162142317990462,-8.020500847697258,0.1416414702932034,1.590039792527136,,,,,480
fear,attention,18,0.3,0.3229855128696987,0.0968956538609096,-8.162142317990462,-7.99137386418879,0.1707684538016716,1.7623953913021102,,,,,480
fear,attention,19,0.3,0.3499829428536551,0.10499488285609652,-8.162142317990462,-7.953000960250695,0.2091413577397665,1.991919530272829,,,,,480
fear,attention,20,0.3,0.3824343000139509,0.11473029000418526,-8.162142317990462,-7.9224832704911625,0.23965904749929923,2.0888908019892276,,,,,480
fear,attention,21,0.3,0.3979862758091518,0.11939588274274554,-8.162142317990462,-7.89463462245961,0.26750769553085174,2.240510220165908,,,,,480
fear,attention,22,0.3,0.44934290931338355,0.13480287279401507,-8.162142317990462,-7.848053567732374,0.3140887502580876,2.3299855837496097,,,,,480
fear,attention,23,0.3,0.5047627403622582,0.15142882210867745,-8.162142317990462,-7.814094302182396,0.34804801580806544,2.298426488177253,,,,,480
fear,attention,24,0.3,0.556824457077753,0.1670473371233259,-8.162142317990462,-7.784099842359622,0.37804247563083937,2.2630859140947712,,,,,480
fear,attention,25,0.3,0.6123204912458148,0.18369614737374443,-8.162142317990462,-7.774210348601143,0.38793196938931906,2.1118133120126936,,,,,480
fear,attention,26,0.3,0.7091385977608817,0.2127415793282645,-8.162142317990462,-7.755360322197278,0.4067819957931835,1.9120944625756997,,,,,480
fear,attention,27,0.3,0.7923965454101562,0.23771896362304687,-8.162142317990462,-7.757630883653959,0.40451143433650305,1.7016372113162184,,,,,480
fear,mlp,0,0.3,0.028173367182413738,0.008452010154724122,-8.162142317990462,-8.162132560710113,9.757280349020903e-06,0.0011544331076752457,,,,,480
fear,mlp,1,0.3,0.03440512929643903,0.01032153878893171,-8.162142317990462,-8.162336790064971,-0.0001944720745097328,-0.018841383875655704,,,,,480
