emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
surprise,attention,0,0.3,0.024746809686933244,0.007424042906079973,-1.675437323350212,-1.6750159349763163,0.0004213883738957147,0.05675995939498352,,,,,467
surprise,attention,1,0.3,0.03355450857253302,0.010066352571759906,-1.675437323350212,-1.6753082940997097,0.0001290292505022883,0.012817875152144612,,,,,467
surprise,attention,2,0.3,0.04446781249273391,0.013340343747820173,-1.675437323350212,-1.6754674494138877,-3.0126063675695036e-05,-0.0022582674213786785,,,,,467
surprise,attention,3,0.3,0.05272324879964193,0.015816974639892577,-1.675437323350212,-1.6756539263102432,-0.00021660296003123136,-0.013694335671812295,,,,,467
surprise,attention,4,0.3,0.07425630660284133,0.022276891980852396,-1.675437323350212,-1.67582796076891,-0.00039063741869793667,-0.01753554396339042,,,,,467
surprise,attention,5,0.3,0.09585160300845191,0.028755480902535574,-1.675437323350212,-1.6768543463702885,-0.0014170230200765133,-0.04927836278862456,,,,,467
surprise,attention,6,0.3,0.10027883166358584,0.03008364949907575,-1.675437323350212,-1.6741340490939531,0.0013032742562588684,0.04332168064579094,,,,,467
surprise,attention,7,0.3,0.12613108044578916,0.037839324133736744,-1.675437323350212,-1.6740677698776605,0.0013695534725515213,0.03619392005288108,,,,,467
surprise,attention,8,0.3,0.13033072153727213,0.039099216461181634,-1.675437323350212,-1.6766795219267205,-0.0012421985765085353,-0.03177042122421586,,,,,467
surprise,attention,9,0.3,0.13836706252325148,0.041510118756975446,-1.675437323350212,-1.67705653668471,-0.0016192133344981041,-0.03900767771776149,,,,,467
surprise,attention,10,0.3,0.1499653316679455,0.04498959950038365,-1.675437323350212,-1.6747939339031244,0.0006433894470876389,0.01430084851238012,,,,,467
surprise,attention,11,0.3,0.15608846573602586,0.046826539720807754,-1.675437323350212,-1.6745893950763555,0.0008479282738564908,0.018107856760547845,,,,,467
surprise,attention,12,0.3,0.1668252490815662,0.050047574724469863,-1.675437323350212,-1.6632535008661753,0.01218382248403671,0.24344481328242362,,,,,467
surprise,attention,13,0.3,0.19299743289039248,0.05789922986711774,-1.675437323350212,-1.638048648547054,0.037388674803157995,0.645754268044105,,,,,467
surprise,attention,14,0.3,0.21573316483270555,0.06471994944981166,-1.675437323350212,-1.622329039606854,0.053108283743358076,0.820585989248059,,,,,467
surprise,attention,15,0.3,0.25008533114478704,0.07502559934343611,-1.675437323350212,-1.5779201658303017,0.0975171575199103,1.2997851183236426,,,,,467
surprise,attention,16,0.3,0.2807611737932478,0.08422835213797433,-1.675437323350212,-1.5488387792823912,0.12659854406782078,1.5030395449318528,,,,,467
surprise,attention,17,0.3,0.29693485441662015,0.08908045632498604,-1.675437323350212,-1.5332974209679526,0.14213990238225938,1.5956350949045461,,,,,467
surprise,attention,18,0.3,0.3229855128696987,0.0968956538609096,-1.675437323350212,-1.5021342521401748,0.17330307121003719,1.788553606943071,,,,,467
surprise,attention,19,0.3,0.3499829428536551,0.10499488285609652,-1.675437323350212,-1.4761981918801588,0.19923913147005323,1.8976080171747571,,,,,467
surprise,attention,20,0.3,0.3824343000139509,0.11473029000418526,-1.675437323350212,-1.433070635450984,0.2423666878992281,2.1124908504143654,,,,,467
surprise,attention,21,0.3,0.3979862758091518,0.11939588274274554,-1.675437323350212,-1.411925846874331,0.263511476475881,2.2070398946976413,,,,,467
surprise,attention,22,0.3,0.44934290931338355,0.13480287279401507,-1.675437323350212,-1.3711970800442155,0.3042402433059965,2.256927000145535,,,,,467
surprise,attention,23,0.3,0.5047627403622582,0.15142882210867745,-1.675437323350212,-1.338262386316916,0.33717493703329593,2.2266232566433897,,,,,467
surprise,attention,24,0.3,0.556824457077753,0.1670473371233259,-1.675437323350212,-1.3196493891053842,0.3557879342448278,2.1298629500580457,,,,,467
surprise,attention,25,0.3,0.6123204912458148,0.18369614737374443,-1.675437323350212,-1.3063056042350079,0.36913171911520415,2.0094690302033187,,,,,467
surprise,attention,26,0.3,0.7091385977608817,0.2127415793282645,-1.675437323350212,-1.2963461556832847,0.3790911676669273,1.7819326568126208,,,,,467
surprise,attention,27,0.3,0.7923965454101562,0.23771896362304687,-1.675437323350212,-1.29725933409988,0.3781779892503321,1.5908616775311724,,,,,467
surprise,mlp,0,0.3,0.028173367182413738,0.008452010154724122,-1.675437323350212,-1.6750092818471554,0.000428041503056642,0.05064375163077564,,,,,467
surprise,mlp,1,0.3,0.03440512929643903,0.01032153878893171,-1.675437323350212,-1.675289798280667,0.0001475250695450736,0.014292933695436183,,,,,467
surprise,mlp,2,0.3,0.047152962003435404,0.01414588860103062,-1.675437323350212,-1.675424352511604,1.297083860807291e-05,0.0009169334620044937,,,,,467
surprise,mlp,3,0.3,0.05883604004269555,0.017650812012808662,-1.675437323350212,-1.6755674278455321,-0.00013010449532013801,-0.007371020394173656,,,,,467
surprise,mlp,4,0.3,0.07728308723086402,0.023184926169259205,-1.675437323350212,-1.6751704649955863,0.0002668583546256986,0.011509993720813525,,,,,467
surprise,mlp,5,0.3,0.09360138575236003,0.02808041572570801,-1.675437323350212,-1.6767744378563678,-0.001337114506155812,-0.0476173329916788,,,,,467
surprise,mlp,6,0.3,0.09779841559273857,0.02933952467782157,-1.675437323350212,-1.673677768837461,0.0017595545127508938,0.05997215469823143,,,,,467
surprise,mlp,7,0.3,0.11729521978469122,0.03518856593540737,-1.675437323350212,-1.673632953036776,0.0018043703134360545,0.051277176704165275,,,,,467
surprise,mlp,8,0.3,0.11951537359328497,0.03585461207798549,-1.675437323350212,-1.6761436538344021,-0.0007063304841901097,-0.01969985012398983,,,,,467
surprise,mlp,9,0.3,0.1384358179001581,0.04153074537004743,-1.675437323350212,-1.6745129812197717,0.0009243421304403476,0.02225681533534422,,,,,467
surprise,mlp,10,0.3,0.14277108510335287,0.04283132553100586,-1.675437323350212,-1.671911426797924,0.003525896552287966,0.08232050978052378,,,,,467
surprise,mlp,11,0.3,0.1538222176688058,0.04614666530064174,-1.675437323350212,-1.6724554953789559,0.0029818279712561235,0.06461632605150901,,,,,467
surprise,mlp,12,0.3,0.16940902528308688,0.05082270758492606,-1.675437323350212,-1.6524990059323688,0.022938317417843246,0.45133993263764477,,,,,467
surprise,mlp,13,0.3,0.19886348361060732,0.05965904508318219,-1.675437323350212,-1.6341704367889327,0.0412668865612793,0.691712153685014,,,,,467
surprise,mlp,14,0.3,0.2291873296101888,0.06875619888305665,-1.675437323350212,-1.6002613690859244,0.07517595426428758,1.0933698413455042,,,,,467
surprise,mlp,15,0.3,0.2604990913754418,0.07814972741263254,-1.675437323350212,-1.5606370087736934,0.11480031457651863,1.4689790787160402,,,,,467
surprise,mlp,16,0.3,0.29472378322056364,0.08841713496616908,-1.675437323350212,-1.5348270023341353,0.14061032101607673,1.5903062349835047,,,,,467
surprise,mlp,17,0.3,0.3170248667399089,0.09510746002197266,-1.675437323350212,-1.506146695520689,0.16929062782952298,1.7799931550102566,,,,,467
surprise,mlp,18,0.3,0.3383351280575707,0.1015005384172712,-1.675437323350212,-1.4839317374872703,0.19150558586294175,1.8867445320896485,,,,,467
surprise,mlp,19,0.3,0.37498555864606586,0.11249566759381975,-1.675437323350212,-1.4355485083204265,0.23988881502978554,2.1324271428472725,,,,,467
surprise,mlp,20,0.3,0.39758555094401044,0.11927566528320313,-1.675437323350212,-1.4145398132295628,0.2608975101206492,2.1873490246412386,,,,,467
surprise,mlp,21,0.3,0.43079367138090585,0.12923810141427175,-1.675437323350212,-1.383330887466733,0.29210643588347907,2.260219182167758,,,,,467
surprise,mlp,22,0.3,0.4785931905110677,0.1435779571533203,-1.675437323350212,-1.3525105273825708,0.3229267959676412,2.2491390904998214,,,,,467
surprise,mlp,23,0.3,0.5382461547851562,0.16147384643554688,-1.675437323350212,-1.3294747227072972,0.34596260064291484,2.1425302504390866,,,,,467
surprise,mlp,24,0.3,0.5975563412620908,0.17926690237862722,-1.675437323350212,-1.3142735454586896,0.36116377789152243,2.014670712213866,,,,,467
surprise,mlp,25,0.3,0.6637131827218192,0.19911395481654576,-1.675437323350212,-1.308325928334761,0.367111395015451,1.8437250937720069,,,,,467
surprise,mlp,26,0.3,0.7567894345238095,0.22703683035714284,-1.675437323350212,-1.3071737544694855,0.36826356888072653,1.6220432971224332,,,,,467
surprise,mlp,27,0.3,1.6176143827892484,0.4852843148367745,-1.675437323350212,-1.045606374676784,0.6298309486734279,1.2978596864093408,,,,,467
